Map ID,Division,Code,Level,Description,Keyword 1,Weight 1,Keyword 2,Weight 2,Keyword 3,Weight 3,Keyword 4,Weight 4,Keyword 5,Weight 5,Project Elements Data
,21,21 23 16,4,Wet-Chemical Fire-Extinguishing Equipment,,1,equipment,2,,3,,4,extinguish,4,
,22,22 05 19,4,Meters and Gages for Plumbing Piping,,1,,2,Plumb,3,Meter,4,Gauge,4,
,22,22 05 23,4,General-Duty Valves for Plumbing Piping,,1,plumb,2,,3,Valve,4,,4,
,22,22 05 29,4,Hangers and Supports for Plumbing Piping and Equipment,plumb,1,rack,2,Support,3,Trapeze,4,Hanger,4,"74db70c8-5a89-4d5e-9868-bca115194314,74db70c8-5a89-4d5e-9868-bca115194353,74db70c8-5a89-4d5e-9868-bca11519436e,74db70c8-5a89-4d5e-9868-bca115194379,74db70c8-5a89-4d5e-9868-bca115197c72,74db70c8-5a89-4d5e-9868-bca115197c73,74db70c8-5a89-4d5e-9868-bca115197c74,74db70c8-5a89-4d5e-9868-bca115197c75,755726d9-4a59-4022-af24-c0d46a761a83,755726d9-4a59-4022-af24-c0d46a761abe,755726d9-4a59-4022-af24-c0d46a761ae8,755726d9-4a59-4022-af24-c0d46a761afd,755726d9-4a59-4022-af24-c0d46a761b92,755726d9-4a59-4022-af24-c0d46a761b93,755726d9-4a59-4022-af24-c0d46a761b94,755726d9-4a59-4022-af24-c0d46a761b95"
,22,22 05 33,4,Heat Tracing for Plumbing Piping,,1,,2,Heat,3,tracing,4,trace,4,
,22,22 05 76,4,Facility Drainage Piping Cleanouts,,1,Piping,2,Drainage,3,Cleanout,4,,4,
,22,22 07 19,4,Plumbing Piping Insulation,,1,Piping,2,Plumbing,3,Insulation,4,,4,
,22,22 11 13,4,Facility Water Distribution Piping,Piping,1,Water,2,Distribution,3,,4,,4,
,22,22 11 16,4,Domestic Water Piping,Water,1,Pipe,2,Piping,3,Domestic,4,,4,
,22,22 11 23,4,Domestic Water Pumps,,1,Water,2,Domestic,3,Pump,4,,4,
,22,22 13 16,4,Sanitary Waste and Vent Piping,Piping,1,Vent,2,Waste,3,sanitary,4,san,4,
,22,22 13 19,4,Sanitary Waste Piping Specialties,Piping,1,Specialty,2,Waste,3,sanitary,4,san,4,
,22,22 14 13,4,Facility Storm Drainage Piping,piping,1,drainage,2,drain,3,storm,4,Leader,4,
,22,22 14 16,4,Rainwater Leaders,,1,,2,,3,Rainwater,4,Leader,4,
,22,22 14 19,4,Sump Pump Discharge Piping,,1,piping,2,discharge,3,pump,4,sump,4,
,22,22 14 26,4,Facility Storm Drains,,1,,2,Leader,3,storm,4,drain,4,
,22,22 14 29,4,Sump Pumps,,1,,2,,3,sump,4,pump,4,
,22,22 14 53,4,Rainwater Storage Tanks,,1,,2,Tank,3,storage,4,rainwater,4,
,22,22 15 13,4,General Service Compressed-Air Piping,air,1,compressed,2,,3,,1,pip,1,
,22,22 15 16,4,General Service Compressed-Air Valves,air,1,compressed,2,,3,,1,valve,1,
,22,22 33 13,4,Instantaneous Electric Domestic Water Heaters,,1,,2,Electric,3,Water,4,Heater,4,
,22,22 33 30,4,"Residential, Electric Domestic Water Heaters",,1,,2,Electric,3,Water,4,Heater,4,
,22,22 33 33,4,Light-Commercial Electric Domestic Water Heaters,,1,,2,Electric,3,Water,4,Heater,4,
,22,22 33 36,4,Commercial Domestic Water Electric Booster Heaters,,1,,2,Booster,3,Water,4,Heater,4,
,22,22 34 13,4,"Instantaneous, Tankless, Gas Domestic Water Heaters",,1,,2,Gas,3,Water,4,Heater,4,
,22,22 34 30,4,Residential Gas Domestic Water Heaters,,1,,2,Gas,3,Water,4,Heater,4,
,22,22 34 36,4,Commercial Gas Domestic Water Heaters,,1,,2,Gas,3,Water,4,Heater,4,
,22,22 34 46,4,Oil-Fired Domestic Water Heaters,,1,,2,Oil,3,Water,4,Heater,4,
,22,22 41 16,4,Residential Lavatories and Sinks,,1,,2,,3,Lavatories,4,Sink,4,"0217511e-d723-4973-aa84-b48c743604fd,0217511e-d723-4973-aa84-b48c7436057c,0335446e-22e7-4331-bbf6-f8cab7e39448,0335446e-22e7-4331-bbf6-f8cab7e3944a,090f3be3-96a7-4ad0-b8d8-2e03434861a0,0c33b6b2-f5d1-4032-9ce8-2296b558f50d,0f4b7e4d-99cc-4401-b4ab-7d7246818421,0f4b7e4d-99cc-4401-b4ab-7d7246818442,13bf0421-9802-4503-a247-2c9e6bdc0d47,15ec6fab-a30a-4db6-b41a-47f740fcbf4c,15ec6fab-a30a-4db6-b41a-47f740fcbfe8,1934b03a-2ca6-4c64-8dd4-5d67694105cf,1d61d368-fa51-4412-b3e6-e7f348ff986c,1d61d368-fa51-4412-b3e6-e7f348ff98fb,1d61d368-fa51-4412-b3e6-e7f348ff9fdd,1d61d368-fa51-4412-b3e6-e7f348fff049,1d61d368-fa51-4412-b3e6-e7f348fff094,1d61d368-fa51-4412-b3e6-e7f348fff0a4,1d61d368-fa51-4412-b3e6-e7f348fff731,1d61d368-fa51-4412-b3e6-e7f348fff7c8,1d61d368-fa51-4412-b3e6-e7f348fff7f1,223e0493-a847-443c-b5e3-3b3f047113da,228d82b3-ab24-4f3b-910a-16f7b006a73a,259d473a-5b7b-47c6-9846-ba65260f1297,325cb22c-bfea-4b88-960b-465e273d8752,325cb22c-bfea-4b88-960b-465e273d8778,325cb22c-bfea-4b88-960b-465e273d9883,325cb22c-bfea-4b88-960b-465e273d98d2,332540c4-1e7b-4b89-9cad-648c9c2c6f32,48c5a7cc-00fb-4600-ae92-1745b3cd7741,4a847a91-fa1c-4f49-bf6a-52770b5377c7,4d94f6ed-e202-4878-926a-a3c71678df39,4dd81aee-21e3-4be2-8bff-275ce6bd4320,4dd81aee-21e3-4be2-8bff-275ce6bd43ea,52ad4f59-5be1-498c-88f7-5b0975507753,5957b414-75ed-40bf-8a87-856a90f1c652,5d79ab35-fa2c-4c65-812c-6210b34e260e,5d7e266c-77a2-49b4-ba94-f13d2ac5693b,5dd2c3b5-1c4e-4f8f-8ad3-71c4a31d2017,5dd2c3b5-1c4e-4f8f-8ad3-71c4a31d2057,639ee0e4-604b-43df-829d-2cb8048dbed4,65dadead-b877-4df6-8201-80870d52cfd5,672eb085-04b8-4811-bc19-fd128bfb8db3,69bc7d68-618b-455b-8fe6-7e3730bd7d25,7182e8dd-b7c5-4e0e-b7f9-7932d4d95f85,756d1b7a-5ea5-4b03-84cb-1bef362fca40,756d1b7a-5ea5-4b03-84cb-1bef362fca70,7597c215-ba4c-4a87-873a-8bffba05ba5b,76b7ee0a-8fae-44b4-bb5b-cb60bd2da0bf,76b7ee0a-8fae-44b4-bb5b-cb60bd2da340,79e1512d-2e61-4311-abca-3465b113e0ed,79e1512d-2e61-4311-abca-3465b113e20d,79e1512d-2e61-4311-abca-3465b113e2c4,7dfc883e-722a-442d-9082-7e679eebdace,8674a243-cb79-4c3a-8180-2b65bc13a832,8674a243-cb79-4c3a-8180-2b65bc13a869,8674a243-cb79-4c3a-8180-2b65bc13ab05,8674a243-cb79-4c3a-8180-2b65bc13ab0e,8674a243-cb79-4c3a-8180-2b65bc13abb1,88564673-4be0-43a9-8406-9d07eee5e4fe,88564673-4be0-43a9-8406-9d07eee5e59b,88564673-4be0-43a9-8406-9d07eee5fa61,8a62054c-1b8f-44b4-aff8-d2917b47dc98,8a62054c-1b8f-44b4-aff8-d2917b47dcbb,8fbb471b-d038-49a5-80f9-61050c425359,9176bf07-cf0b-4123-9c31-446a715bd787,9176bf07-cf0b-4123-9c31-446a715bd796,926fd71f-81b2-4ea0-a343-017634238c78,93f8d022-8751-4669-af67-4bb0123d80a8,93f8d022-8751-4669-af67-4bb0123d81a3,93f8d022-8751-4669-af67-4bb0123d87bf,94763839-782c-4a34-bcf2-dd9543f51a99,96541a58-3f35-470e-bf8d-31960e799062,96541a58-3f35-470e-bf8d-31960e799136,96541a58-3f35-470e-bf8d-31960e7991b8,96541a58-3f35-470e-bf8d-31960e7996f3,9c0c216a-a855-42df-bc3b-1377bdfd6f81,9e1e8177-1f0d-4d0c-b5b1-a7fff75c259a,9e1e8177-1f0d-4d0c-b5b1-a7fff75c25ae,9f540918-37d5-47ae-8da6-cc6e7013187b,9f540918-37d5-47ae-8da6-cc6e70131e3a,a3d1fb3d-848d-4062-a09f-626c6156ebaf,a9fb11dd-5f96-41eb-8025-14ff940df751,acb720ff-073b-4894-8e25-53fe0b62e7ce,afbf8c68-c7f7-485a-a604-50b61bbe8926,b619ec92-e229-4dd9-83ab-f84c38a080ae,b619ec92-e229-4dd9-83ab-f84c38a080b8,ba49926f-95c4-458b-8315-49d3bb3da712,baa80eb2-a4b6-4ef3-b830-0c368656a03a,bf3e0a43-f751-4991-a2d6-cf76453515b4,bf3e0a43-f751-4991-a2d6-cf76453515b6,c00f6c79-b7dc-4f7f-9508-414ed8e3b5f5,c6d7d6ff-f110-4c39-b55f-f4608d447ca6,c6d7d6ff-f110-4c39-b55f-f4608d447fc2,c810dfc4-b910-4f07-82f5-0712c6cb53c8,cf1f66f7-1446-4a2c-8a6f-22868a5ce386,d5bd00a7-8b89-4acd-8c9b-11c3185ad835,d9a8126f-fc07-40a2-93a0-dd9363de785a,d9a8126f-fc07-40a2-93a0-dd9363de7906,d9a8126f-fc07-40a2-93a0-dd9363de7ab1,d9a8126f-fc07-40a2-93a0-dd9363de7db4,daff9d93-c148-4426-9417-625d773c2793,db17e892-86aa-4fd2-a175-a6044927f272,dc0c00c8-89a6-4622-a663-3cb3c8963dd9,dc0c00c8-89a6-4622-a663-3cb3c8963de9,e0a704b2-9b40-4ca1-a952-cbf260bd4910,e3400d37-e793-40b9-84e2-274b66cba935,e3400d37-e793-40b9-84e2-274b66cba937,eb2cbe3d-836e-44d2-9b24-19d7002e5e85,eb2cbe3d-836e-44d2-9b24-19d7002e5ffc,ed0b55b5-ba7d-4708-b5fe-5a7a2ae87e6d,f4676e04-244b-4acf-bce5-b31ea675c11d,f4676e04-244b-4acf-bce5-b31ea675c130,f4e1387e-0432-4fd0-9c19-53415c806127,f4e1387e-0432-4fd0-9c19-53415c806451,f6333b15-36c5-4d12-b602-341b1351d05f,f8a07de8-d031-4ccc-81f9-4ef03fe057e3,f9b4901d-0f8a-41b1-bf87-68c997510f67,fb4bf425-d2fb-4883-a46b-3e9ec57b55d8,fb4bf425-d2fb-4883-a46b-3e9ec57b561d,fb51b753-8df0-4ecb-be90-f5304259256e,fb51b753-8df0-4ecb-be90-f530425925fe,fc708567-a308-4c55-a63a-4f8d0afc99dc,fc7d0dcb-064a-4ef8-b252-c3f6c5aa912b,fc7d0dcb-064a-4ef8-b252-c3f6c5aa9205,fd3a4d8f-dec9-45a8-83cd-5195c7da4615"
,22,22 41 19,4,Residential Bathtubs,,1,,2,,3,Bathtub,4,Bath,4,
,22,22 41 23,4,Residential Showers,,1,,2,,3,Shower,4,,4,
